clip,gap_length,condition,dyad,turn_num,turn_start_msec,video_num,laughter,,
289_2388_44_246.mov,2388,friends,44_246,91,333402,289,no,,
290_2065_44_246.mov,2065,friends,44_246,125,455838,290,no,,
291_2215_44_246.mov,2215,friends,44_246,131,490521,291,no,,
292_2400_44_246.mov,2400,friends,44_246,158,590861,292,no,,
293_3300_5_228.mov,3300,friends,5_228,5,10700,293,yes,,
294_3157_5_228.mov,3157,friends,5_228,125,533365,294,yes,,
295_4852_44_253.mov,4852,friends,44_253,5,17864,295,no,,
296_2360_44_253.mov,2360,friends,44_253,7,22549,296,no,,
297_2106_44_253.mov,2106,friends,44_253,10,39382,297,no,,
298_2271_44_253.mov,2271,friends,44_253,45,235290,298,no,,
299_2567_44_253.mov,2567,friends,44_253,57,288431,299,no,,
300_2069_44_253.mov,2069,friends,44_253,59,297277,300,no,,
301_2315_44_253.mov,2315,friends,44_253,61,318622,301,no,,
302_4780_44_253.mov,4780,friends,44_253,70,351996,302,no,,
303_2605_44_253.mov,2605,friends,44_253,73,367551,303,no,,
304_2050_44_253.mov,2050,friends,44_253,79,398700,304,no,,
305_3620_44_253.mov,3620,friends,44_253,91,441573,305,yes,,
306_2343_44_253.mov,2343,friends,44_253,103,497509,306,no,,
307_2239_44_253.mov,2239,friends,44_253,112,521056,307,no,,
308_2140_44_253.mov,2140,friends,44_253,118,552138,308,no,,
309_3005_44_253.mov,3005,friends,44_253,126,582056,309,no,,
310_4567_44_253.mov,4567,friends,44_253,127,588711,310,yes,,
311_2035_11_240.mov,2035,friends,11_240,41,123050,311,no,,
312_7773_11_240.mov,7773,friends,11_240,128,375993,312,no,,
313_2497_11_240.mov,2497,friends,11_240,150,453951,313,no,,
314_2180_11_240.mov,2180,friends,11_240,158,491963,314,no,,
315_2354_11_240.mov,2354,friends,11_240,170,569731,315,no,,
316_3829_101_204.mov,3829,friends,101_204,4,14780,316,no,,
317_2164_101_204.mov,2164,friends,101_204,53,199390,317,no,,
318_2603_21_213.mov,2603,friends,21_213,24,114522,318,yes,,
319_2921_29_238.mov,2921,friends,29_238,6,17120,319,no,,
320_2315_29_238.mov,2315,friends,29_238,9,34640,320,no,,
321_2414_29_238.mov,2414,friends,29_238,86,445244,321,yes,,
322_2445_25_208.mov,2445,friends,25_208,24,147843,322,no,,
323_2031_25_208.mov,2031,friends,25_208,43,296539,323,yes,,
324_2956_25_209.mov,2956,friends,25_209,47,303204,324,yes,,
325_3706_25_209.mov,3706,friends,25_209,64,357340,325,yes,,
326_2472_107_234.mov,2472,friends,107_234,28,109673,326,yes,,
327_2248_107_234.mov,2248,friends,107_234,40,146948,327,yes,,
328_3862_107_234.mov,3862,friends,107_234,41,152678,328,yes,,
329_2182_107_234.mov,2182,friends,107_234,45,183164,329,no,,
330_3139_107_234.mov,3139,friends,107_234,54,215729,330,yes,,
331_2951_107_234.mov,2951,friends,107_234,104,466082,331,yes,,
332_2159_4_258.mov,2159,friends,4_258,65,330846,332,yes,,
333_2858_4_265.mov,2858,friends,4_265,51,317489,333,no,,
334_2256_4_265.mov,2256,friends,4_265,57,399764,334,no,,
335_2462_4_265.mov,2462,friends,4_265,67,552012,335,no,,
336_2533_8_243.mov,2533,friends,8_243,8,16421,336,no,,
337_2516_8_243.mov,2516,friends,8_243,13,32821,337,yes,,
338_4623_8_243.mov,4623,friends,8_243,23,54925,338,yes,,
339_2157_8_243.mov,2157,friends,8_243,104,384291,339,no,,
340_4758_8_243.mov,4758,friends,8_243,108,409029,340,yes,,
341_2919_8_243.mov,2919,friends,8_243,109,412629,341,no,,
342_2036_8_243.mov,2036,friends,8_243,131,490788,342,no,,
343_2171_8_243.mov,2171,friends,8_243,142,511646,343,no,,
344_3074_86_227.mov,3074,friends,86_227,39,184213,344,yes,,
345_3998_8_244.mov,3998,friends,8_244,69,148896,345,yes,,
346_2398_8_244.mov,2398,friends,8_244,72,162735,346,no,,
347_2042_85_256.mov,2042,friends,85_256,33,133417,347,yes,,
348_2035_85_256.mov,2035,friends,85_256,42,175314,348,no,,
349_3180_85_256.mov,3180,friends,85_256,51,208731,349,yes,,
350_2068_85_256.mov,2068,friends,85_256,77,316255,350,no,,
351_3526_85_256.mov,3526,friends,85_256,98,395371,351,yes,,
352_3904_85_256.mov,3904,friends,85_256,145,509752,352,yes,,
353_4354_50_229.mov,4354,friends,50_229,6,16980,353,yes,,
354_3798_50_229.mov,3798,friends,50_229,8,25155,354,no,,
355_2118_50_229.mov,2118,friends,50_229,74,246702,355,no,,
356_3106_50_229.mov,3106,friends,50_229,86,301950,356,yes,,
357_3017_107_233.mov,3017,friends,107_233,120,533097,357,yes,,
358_2379_67_210.mov,2379,friends,67_210,70,297769,358,yes,,
359_3889_67_210.mov,3889,friends,67_210,113,533279,359,yes,,
360_2162_63_218.mov,2162,friends,63_218,50,128512,360,no,,
361_2056_63_224.mov,2056,friends,63_224,36,117894,361,yes,,
362_2245_63_224.mov,2245,friends,63_224,100,360429,362,yes,,
363_2479_63_224.mov,2479,friends,63_224,109,372006,363,yes,,
364_2210_63_224.mov,2210,friends,63_224,117,386060,364,no,,
365_2711_63_224.mov,2711,friends,63_224,132,483549,365,yes,,
366_2748_63_224.mov,2748,friends,63_224,145,538423,366,yes,,
367_3155_63_224.mov,3155,friends,63_224,146,546598,367,yes,,
368_2268_85_255.mov,2268,friends,85_255,30,96695,368,yes,,
369_2007_85_255.mov,2007,friends,85_255,33,113738,369,no,,
370_2299_85_255.mov,2299,friends,85_255,43,177296,370,no,,
371_3264_85_255.mov,3264,friends,85_255,123,452376,371,no,,
372_2179_85_255.mov,2179,friends,85_255,158,564264,372,no,,
373_2178_67_205.mov,2178,friends,67_205,99,309745,373,no,,
374_2454_67_205.mov,2454,friends,67_205,144,462184,374,yes,,
375_3616_86_239.mov,3616,friends,86_239,15,99298,375,no,,
376_2687_86_239.mov,2687,friends,86_239,27,205757,376,no,,
377_2630_86_239.mov,2630,friends,86_239,30,215766,377,no,,
378_2311_86_239.mov,2311,friends,86_239,40,292510,378,yes,,
379_4614_86_239.mov,4614,friends,86_239,49,325389,379,no,,
380_6261_86_239.mov,6261,friends,86_239,53,394992,380,yes,,
381_2094_86_239.mov,2094,friends,86_239,55,413607,381,no,,
382_2940_49_225.mov,2940,friends,49_225,8,11034,382,no,,
383_2200_49_225.mov,2200,friends,49_225,55,339661,383,no,,
384_4627_49_225.mov,4627,friends,49_225,103,522231,384,yes,,
385_2576_50_230.mov,2576,friends,50_230,4,22140,385,no,,
386_2167_50_230.mov,2167,friends,50_230,70,498251,386,no,,
387_3509_29_242.mov,3509,friends,29_242,3,13780,387,no,,
388_2410_29_242.mov,2410,friends,29_242,25,122767,388,no,,
389_3235_29_242.mov,3235,friends,29_242,42,238477,389,no,,
390_2906_29_242.mov,2906,friends,29_242,86,538437,390,no,,
391_2149_63_217.mov,2149,friends,63_217,37,166118,391,yes,,
392_2007_48_236.mov,2007,friends,48_236,89,425473,392,yes,,
393_2556_49_226.mov,2556,friends,49_226,102,555323,393,no,,
394_2148_50_231.mov,2148,friends,50_231,21,49533,394,yes,,
395_2049_50_231.mov,2049,friends,50_231,35,112360,395,yes,,
396_2072_50_231.mov,2072,friends,50_231,97,468916,396,no,,
397_2218_48_232.mov,2218,friends,48_232,68,219689,397,no,,
398_2241_48_232.mov,2241,friends,48_232,123,402414,398,no,,
399_2252_48_232.mov,2252,friends,48_232,130,424760,399,no,,
400_2109_85_261.mov,2109,friends,85_261,97,334296,400,no,,
401_2053_85_261.mov,2053,friends,85_261,116,409225,401,no,,
402_2040_85_261.mov,2040,friends,85_261,151,532625,402,no,,
403_2228_68_262.mov,2228,friends,68_262,31,179051,403,no,,
404_2218_5_223.mov,2218,friends,5_223,63,390195,404,yes,,
